X(mm)	Y(mm)	Z(mm)	Left_x	Left_y	Right_x	Right_y
13.707	-7.702	29.632	231.000	130.000	343.000	149.000
14.909	-7.717	29.877	237.000	140.000	353.000	140.000
16.687	-7.678	29.521	251.000	153.000	367.000	130.000
11.852	-5.951	29.789	203.000	130.000	338.000	175.000
13.562	-6.055	29.885	216.000	143.000	351.000	164.000
15.246	-6.059	30.116	227.000	155.000	366.000	154.000
16.612	-6.013	30.101	236.000	165.000	378.000	146.000
18.452	-5.674	30.094	248.000	177.000	399.000	141.000
10.010	-4.366	29.861	174.000	129.000	332.000	198.000
11.839	-4.458	29.985	190.000	143.000	346.000	188.000
13.502	-4.490	30.146	203.000	155.000	360.000	179.000
15.257	-4.495	30.401	215.000	167.000	376.000	169.000
16.588	-4.497	30.461	224.000	176.000	388.000	161.000
18.353	-4.455	30.208	237.000	188.000	404.000	151.000
20.004	-4.357	30.153	247.000	199.000	421.000	141.000
8.482	-2.542	29.568	145.000	133.000	328.000	222.000
9.848	-2.593	30.304	155.000	144.000	341.000	213.000
11.613	-2.721	30.461	172.000	156.000	355.000	204.000
13.383	-2.773	30.608	187.000	168.000	370.000	195.000
15.161	-2.741	30.516	201.000	181.000	385.000	186.000
16.820	-2.750	30.651	213.000	191.000	401.000	177.000
18.408	-2.690	30.507	224.000	202.000	416.000	168.000
20.447	-2.610	30.749	237.000	212.000	440.000	158.000
21.907	-2.576	30.273	247.000	223.000	454.000	147.000
8.340	-0.853	29.813	127.000	148.000	336.000	237.000
9.968	-0.907	30.196	143.000	160.000	350.000	229.000
11.715	-0.979	30.510	159.000	172.000	365.000	220.000
13.409	-0.954	30.670	173.000	184.000	380.000	212.000
15.155	-0.978	30.810	187.000	195.000	396.000	203.000
16.837	-1.007	30.865	200.000	205.000	412.000	194.000
18.691	-0.975	30.901	213.000	216.000	431.000	184.000
20.122	-0.927	30.743	223.000	225.000	446.000	176.000
21.831	-0.844	30.260	236.000	236.000	465.000	167.000
8.172	1.281	30.153	107.000	164.000	348.000	259.000
9.767	0.970	30.690	123.000	175.000	360.000	246.000
11.506	0.915	31.209	139.000	186.000	376.000	237.000
13.304	0.872	31.181	156.000	198.000	391.000	229.000
15.010	0.844	31.120	171.000	209.000	406.000	221.000
16.881	0.890	31.299	185.000	220.000	425.000	212.000
18.555	0.847	31.287	198.000	229.000	442.000	203.000
20.353	0.879	30.938	212.000	240.000	461.000	194.000
21.876	0.926	30.441	224.000	250.000	478.000	186.000
8.449	2.833	30.252	93.000	184.000	357.000	270.000
10.053	2.779	30.629	110.000	195.000	371.000	262.000
11.724	2.763	31.116	126.000	205.000	387.000	254.000
13.487	2.758	31.174	143.000	216.000	403.000	247.000
15.213	2.692	31.304	158.000	226.000	419.000	238.000
16.792	2.710	31.339	171.000	235.000	435.000	231.000
18.477	2.699	31.129	185.000	245.000	452.000	223.000
20.205	2.741	31.081	198.000	254.000	472.000	215.000
21.840	2.771	30.641	211.000	264.000	491.000	207.000
8.465	4.571	30.330	76.000	202.000	366.000	286.000
10.125	4.499	30.753	95.000	212.000	381.000	278.000
11.796	4.513	31.113	112.000	222.000	397.000	271.000
13.539	4.520	31.455	128.000	232.000	414.000	263.000
15.252	4.499	31.561	144.000	241.000	431.000	256.000
16.645	4.503	31.534	156.000	249.000	445.000	250.000
18.473	4.467	31.327	172.000	259.000	464.000	242.000
20.143	4.479	31.212	185.000	268.000	483.000	234.000
22.017	4.534	30.767	200.000	279.000	506.000	226.000
