# X(mm)	Y(mm)	Z(mm)
-8.130	13.066	28.704
-8.267	14.331	28.801
-8.077	16.110	28.369
-9.773	11.289	28.056
-9.753	13.030	28.096
-9.796	14.539	28.115
-9.722	16.186	27.947
-9.851	17.867	27.795
-11.479	9.521	27.310
-11.197	11.275	27.503
-11.295	12.971	27.580
-11.292	14.690	27.590
-11.252	16.232	27.474
-11.198	17.739	27.169
-11.297	19.607	27.143
-12.931	7.709	26.334
-12.781	9.387	26.718
-12.894	11.118	26.915
-12.945	12.819	27.012
-12.906	14.618	26.911
-12.919	16.213	26.764
-12.836	17.873	26.569
-12.756	19.592	26.322
-12.721	21.134	25.831
-14.175	7.694	25.585
-14.359	9.355	25.993
-14.486	11.076	26.161
-14.502	12.854	26.148
-14.562	14.594	26.200
-14.567	16.140	26.214
-14.464	17.964	25.905
-14.426	19.583	25.739
-14.266	21.226	25.272
-16.191	7.245	25.417
-16.117	9.157	25.297
-16.212	10.854	25.575
-16.308	12.649	25.613
-16.388	14.398	25.688
-16.330	16.213	25.535
-16.550	17.955	25.411
-16.178	19.754	25.050
-16.021	21.425	24.599
-17.603	7.679	24.193
-17.720	9.357	24.460
-17.821	11.086	24.631
-17.898	12.809	24.756
-17.962	14.518	24.740
-18.016	16.185	24.700
-17.993	17.862	24.517
-17.816	19.641	24.228
-17.715	21.178	23.845
-19.152	7.643	23.488
-19.367	9.305	23.858
-19.406	11.003	23.952
-19.576	12.793	24.081
-19.562	14.428	24.057
-19.612	16.163	24.008
-19.563	17.906	23.804
-19.454	19.480	23.573
-19.308	21.083	23.170
