# X(mm)	Y(mm)	Z(mm)
-8.275	11.960	28.861
-8.478	13.190	29.207
-8.453	14.933	29.108
-9.904	10.060	28.269
-9.930	11.816	28.390
-10.024	13.371	28.478
-10.041	14.960	28.446
-10.193	16.638	28.407
-11.430	8.141	27.610
-11.513	9.864	27.964
-11.526	11.764	27.986
-11.567	13.455	28.077
-11.635	14.963	28.115
-11.589	16.515	27.841
-11.931	18.224	27.688
-12.677	6.567	26.416
-12.924	8.154	26.945
-13.026	9.850	27.238
-13.201	11.586	27.443
-13.204	13.381	27.488
-13.332	14.929	27.595
-13.258	16.616	27.301
-13.231	18.312	27.114
-13.043	19.992	26.571
-14.388	6.448	25.918
-14.521	8.128	26.237
-14.701	9.793	26.580
-14.895	11.565	26.853
-14.902	13.305	26.904
-14.922	14.953	26.816
-14.986	16.781	26.746
-14.907	18.302	26.608
-14.816	19.976	26.151
-16.250	6.001	25.523
-16.354	7.829	25.687
-16.848	9.563	26.388
-16.637	11.350	26.245
-16.852	12.969	26.444
-16.684	14.949	26.236
-16.897	16.582	26.406
-16.683	18.468	25.918
-16.601	20.195	25.614
-17.796	6.334	24.460
-17.939	8.053	24.845
-18.114	9.735	25.175
-18.224	11.557	25.388
-18.371	13.277	25.499
-18.459	14.816	25.551
-18.344	16.527	25.286
-18.397	18.323	25.220
-18.342	19.936	24.874
-19.358	6.313	23.850
-19.592	8.039	24.227
-19.786	9.697	24.602
-19.836	11.438	24.743
-20.001	13.101	24.862
-19.955	14.805	24.738
-20.023	16.631	24.755
-20.056	18.149	24.594
-19.970	19.841	24.259
