X(mm)	Y(mm)	Z(mm)	Left_x	Left_y	Right_x	Right_y
13.288	-7.220	29.613	250.000	153.000	364.000	171.000
14.540	-7.165	29.703	258.000	163.000	373.000	162.000
16.305	-7.143	29.433	272.000	175.000	385.000	150.000
11.499	-5.494	29.858	223.000	156.000	363.000	196.000
13.225	-5.545	29.747	238.000	168.000	374.000	185.000
14.964	-5.528	29.892	251.000	179.000	388.000	174.000
16.357	-5.493	29.785	261.000	189.000	398.000	164.000
18.110	-5.384	29.601	274.000	200.000	413.000	153.000
9.825	-3.860	29.696	197.000	160.000	360.000	219.000
11.257	-3.927	30.369	207.000	170.000	372.000	208.000
13.199	-3.964	30.084	226.000	182.000	385.000	198.000
15.011	-3.974	30.060	241.000	193.000	399.000	187.000
16.490	-3.970	30.071	252.000	202.000	411.000	177.000
18.212	-3.817	30.197	264.000	211.000	429.000	168.000
19.716	-3.832	29.725	276.000	221.000	440.000	156.000
8.000	-2.127	29.805	165.000	164.000	358.000	242.000
9.713	-2.209	30.187	182.000	175.000	371.000	232.000
11.386	-2.233	30.247	198.000	186.000	383.000	223.000
12.990	-2.245	30.534	211.000	196.000	396.000	213.000
14.917	-2.236	30.616	227.000	207.000	412.000	202.000
16.551	-2.274	30.439	241.000	216.000	425.000	192.000
18.143	-2.233	30.096	254.000	226.000	438.000	182.000
19.866	-2.181	29.939	267.000	235.000	455.000	171.000
21.395	-2.052	29.432	279.000	245.000	470.000	161.000
7.987	-0.403	30.061	151.000	181.000	369.000	256.000
9.635	-0.456	30.425	168.000	191.000	382.000	247.000
11.397	-0.513	30.577	185.000	202.000	395.000	237.000
13.159	-0.553	30.711	201.000	212.000	409.000	227.000
14.865	-0.482	30.798	215.000	222.000	424.000	218.000
16.417	-0.469	30.661	228.000	231.000	437.000	209.000
18.271	-0.442	30.476	243.000	241.000	454.000	198.000
19.896	-0.445	30.172	256.000	250.000	469.000	187.000
21.370	-0.301	29.696	268.000	259.000	485.000	179.000
7.869	1.390	30.369	135.000	198.000	380.000	271.000
9.503	1.358	30.747	152.000	208.000	393.000	262.000
11.230	1.346	30.998	169.000	218.000	407.000	253.000
12.997	1.324	31.009	186.000	228.000	421.000	244.000
14.732	1.302	31.150	201.000	237.000	436.000	234.000
16.532	1.335	31.072	216.000	247.000	452.000	224.000
18.319	1.346	30.881	231.000	256.000	469.000	214.000
20.155	1.430	30.505	246.000	266.000	488.000	204.000
21.744	1.475	30.039	259.000	275.000	505.000	194.000
8.007	3.214	30.455	122.000	218.000	392.000	286.000
9.672	3.180	30.894	140.000	227.000	406.000	277.000
11.432	3.153	31.047	158.000	237.000	420.000	268.000
13.191	3.132	31.175	175.000	246.000	435.000	259.000
14.895	3.148	31.084	191.000	255.000	450.000	251.000
16.579	3.199	31.079	205.000	264.000	466.000	242.000
18.214	3.197	30.920	219.000	272.000	482.000	233.000
19.981	3.252	30.577	234.000	281.000	501.000	224.000
21.611	3.346	30.202	247.000	290.000	520.000	215.000
8.042	5.003	30.780	107.000	237.000	404.000	300.000
9.767	4.846	30.958	128.000	245.000	417.000	291.000
11.419	4.867	31.307	145.000	253.000	432.000	283.000
13.208	4.821	31.354	163.000	262.000	447.000	274.000
14.977	4.897	31.423	179.000	271.000	464.000	266.000
16.633	4.908	31.322	194.000	279.000	480.000	258.000
18.291	4.859	31.057	209.000	287.000	496.000	249.000
19.885	4.934	30.860	222.000	295.000	514.000	241.000
21.546	5.021	30.404	236.000	304.000	534.000	233.000
