X(mm)	Y(mm)	Z(mm)	Left_x	Left_y	Right_x	Right_y
-4.772	10.840	43.187	228.000	133.000	337.000	146.000
-5.061	12.776	43.507	241.000	144.000	350.000	135.000
-5.137	14.271	43.334	251.000	153.000	358.000	126.000
-6.589	8.877	41.840	202.000	138.000	337.000	170.000
-6.740	10.710	42.239	216.000	148.000	348.000	159.000
-6.935	12.736	42.342	231.000	159.000	361.000	148.000
-7.140	14.365	42.368	242.000	168.000	372.000	139.000
-7.712	16.059	42.396	253.000	177.000	389.000	133.000
-8.524	6.821	40.445	170.000	146.000	335.000	193.000
-8.407	8.718	41.015	190.000	152.000	347.000	182.000
-8.567	10.677	41.083	206.000	163.000	359.000	172.000
-8.854	12.588	41.631	220.000	172.000	373.000	161.000
-8.976	14.146	41.692	231.000	180.000	383.000	152.000
-9.128	15.981	41.602	244.000	189.000	396.000	142.000
-9.267	18.045	41.396	258.000	199.000	411.000	130.000
-9.910	4.829	38.957	143.000	147.000	334.000	216.000
-10.145	6.720	39.442	161.000	158.000	346.000	206.000
-10.327	8.605	39.818	178.000	168.000	358.000	196.000
-10.618	10.482	40.218	193.000	178.000	371.000	186.000
-10.830	12.486	40.325	209.000	188.000	385.000	176.000
-10.985	14.473	40.471	224.000	197.000	399.000	165.000
-11.164	15.933	40.513	234.000	204.000	410.000	157.000
-11.346	17.996	40.531	248.000	213.000	426.000	145.000
-11.432	19.896	40.155	261.000	222.000	441.000	134.000
-11.637	4.906	37.565	132.000	165.000	344.000	229.000
-12.012	6.668	38.165	149.000	175.000	357.000	220.000
-12.203	8.491	38.641	166.000	184.000	369.000	210.000
-12.464	10.439	38.820	183.000	194.000	383.000	201.000
-12.739	12.339	39.147	198.000	203.000	397.000	191.000
-12.908	14.272	39.191	213.000	212.000	411.000	181.000
-13.250	16.206	39.590	226.000	220.000	427.000	170.000
-13.350	17.892	39.346	238.000	228.000	440.000	161.000
-13.399	19.775	38.970	252.000	236.000	456.000	151.000
-13.745	4.535	36.614	114.000	182.000	355.000	244.000
-13.827	6.826	36.701	139.000	194.000	369.000	234.000
-14.145	8.739	37.043	157.000	204.000	383.000	225.000
-14.458	10.574	37.603	173.000	212.000	397.000	215.000
-14.662	12.471	37.679	189.000	221.000	411.000	206.000
-14.941	14.054	37.905	201.000	228.000	424.000	198.000
-15.052	15.502	37.987	212.000	234.000	435.000	190.000
-15.159	17.612	37.803	228.000	243.000	452.000	179.000
-15.549	19.990	38.075	243.000	252.000	474.000	165.000
-15.481	4.871	35.137	105.000	203.000	367.000	257.000
-15.758	6.590	35.581	124.000	211.000	380.000	249.000
-16.108	8.440	36.039	142.000	220.000	394.000	240.000
-16.385	10.273	36.411	159.000	228.000	408.000	231.000
-16.693	12.142	36.715	175.000	236.000	423.000	222.000
-16.949	14.077	36.845	191.000	244.000	439.000	213.000
-17.063	15.638	36.791	203.000	251.000	451.000	205.000
-17.294	17.601	36.685	218.000	259.000	469.000	196.000
-17.492	19.321	36.613	230.000	266.000	485.000	187.000
-17.171	4.878	33.869	93.000	221.000	378.000	271.000
-17.511	6.609	34.457	112.000	229.000	391.000	262.000
-17.856	8.370	34.854	130.000	237.000	405.000	254.000
-18.146	10.178	35.191	148.000	244.000	420.000	246.000
-18.479	12.036	35.505	164.000	252.000	435.000	237.000
-18.668	14.005	35.548	181.000	260.000	451.000	228.000
-18.924	15.412	35.572	192.000	266.000	464.000	222.000
-19.083	17.457	35.487	208.000	274.000	482.000	212.000
-19.322	19.176	35.270	221.000	281.000	500.000	205.000
