X(mm)	Y(mm)	Z(mm)	Left_x	Left_y	Right_x	Right_y
-8.756	13.133	24.629	266.000	223.000	368.000	231.000
-8.759	14.205	24.559	275.000	233.000	377.000	222.000
-8.707	15.647	24.393	288.000	245.000	390.000	210.000
-10.341	11.707	24.631	238.000	226.000	370.000	256.000
-10.195	13.176	24.529	253.000	238.000	381.000	244.000
-10.129	14.613	24.425	267.000	249.000	394.000	233.000
-10.017	15.775	24.271	278.000	258.000	404.000	223.000
-10.006	17.121	24.010	289.000	270.000	417.000	212.000
-11.581	10.274	24.377	212.000	228.000	368.000	278.000
-11.551	11.742	24.429	227.000	240.000	380.000	267.000
-11.457	13.283	24.318	243.000	252.000	393.000	256.000
-11.382	14.730	24.204	257.000	263.000	406.000	245.000
-11.353	15.905	24.144	267.000	272.000	417.000	235.000
-11.191	17.165	23.742	280.000	282.000	429.000	226.000
-11.108	18.583	23.572	292.000	292.000	444.000	213.000
-13.304	8.840	24.066	178.000	238.000	368.000	301.000
-13.169	10.188	24.323	196.000	244.000	380.000	291.000
-13.098	11.649	24.317	212.000	255.000	392.000	281.000
-13.012	13.179	24.159	228.000	267.000	405.000	271.000
-12.834	14.701	23.941	244.000	278.000	418.000	260.000
-12.790	16.004	23.862	256.000	287.000	431.000	250.000
-12.619	17.425	23.567	270.000	297.000	445.000	239.000
-12.463	18.817	23.335	283.000	306.000	460.000	227.000
-12.410	20.141	23.023	294.000	316.000	476.000	216.000
-14.588	8.765	23.871	167.000	250.000	379.000	314.000
-14.610	10.242	23.961	184.000	261.000	392.000	305.000
-14.600	11.773	23.958	200.000	273.000	405.000	295.000
-14.438	13.286	23.837	217.000	283.000	418.000	285.000
-14.400	14.764	23.826	231.000	293.000	432.000	274.000
-14.307	16.019	23.645	243.000	302.000	444.000	265.000
-14.096	17.569	23.316	259.000	312.000	460.000	254.000
-13.884	18.905	22.988	272.000	321.000	474.000	243.000
-13.801	20.259	22.609	284.000	331.000	491.000	233.000
-16.464	8.368	23.886	145.000	266.000	390.000	329.000
-16.424	10.020	23.987	165.000	277.000	404.000	319.000
-16.316	11.610	23.946	183.000	288.000	417.000	309.000
-16.278	13.145	23.835	199.000	299.000	431.000	300.000
-16.019	14.644	23.618	216.000	308.000	444.000	290.000
-15.880	16.246	23.438	232.000	318.000	460.000	279.000
-15.946	17.767	23.184	243.000	331.000	476.000	268.000
-15.564	19.336	22.769	262.000	338.000	495.000	258.000
-15.285	20.618	22.278	275.000	347.000	510.000	248.000
-17.960	8.744	23.373	136.000	288.000	404.000	342.000
-17.939	10.261	23.452	154.000	298.000	417.000	333.000
-17.875	11.831	23.429	172.000	308.000	431.000	324.000
-17.637	13.378	23.188	190.000	318.000	444.000	315.000
-17.529	14.915	23.104	206.000	327.000	459.000	305.000
-17.385	16.339	22.829	221.000	336.000	474.000	297.000
-17.270	17.716	22.684	234.000	344.000	489.000	287.000
-17.139	19.227	22.337	248.000	354.000	507.000	277.000
-16.725	20.649	21.746	264.000	363.000	524.000	267.000
-19.644	8.762	23.137	121.000	307.000	416.000	355.000
-19.626	10.267	23.252	139.000	316.000	429.000	346.000
-19.436	11.894	23.166	159.000	325.000	443.000	337.000
-19.308	13.426	23.072	176.000	334.000	457.000	328.000
-19.124	14.979	22.766	193.000	344.000	472.000	320.000
-18.885	16.507	22.518	210.000	352.000	488.000	311.000
-18.794	17.955	22.342	224.000	360.000	505.000	302.000
-18.501	19.255	21.912	238.000	368.000	520.000	294.000
-18.372	20.672	21.546	251.000	377.000	539.000	285.000
