# X(mm)	Y(mm)	Z(mm)
-8.756	13.133	24.629
-8.759	14.205	24.559
-8.707	15.647	24.393
-10.341	11.707	24.631
-10.195	13.176	24.529
-10.129	14.613	24.425
-10.017	15.775	24.271
-10.006	17.121	24.010
-11.581	10.274	24.377
-11.551	11.742	24.429
-11.457	13.283	24.318
-11.382	14.730	24.204
-11.353	15.905	24.144
-11.191	17.165	23.742
-11.108	18.583	23.572
-13.304	8.840	24.066
-13.169	10.188	24.323
-13.098	11.649	24.317
-13.012	13.179	24.159
-12.834	14.701	23.941
-12.790	16.004	23.862
-12.619	17.425	23.567
-12.463	18.817	23.335
-12.410	20.141	23.023
-14.588	8.765	23.871
-14.610	10.242	23.961
-14.600	11.773	23.958
-14.438	13.286	23.837
-14.400	14.764	23.826
-14.307	16.019	23.645
-14.096	17.569	23.316
-13.884	18.905	22.988
-13.801	20.259	22.609
-16.464	8.368	23.886
-16.424	10.020	23.987
-16.316	11.610	23.946
-16.278	13.145	23.835
-16.019	14.644	23.618
-15.880	16.246	23.438
-15.946	17.767	23.184
-15.564	19.336	22.769
-15.285	20.618	22.278
-17.960	8.744	23.373
-17.939	10.261	23.452
-17.875	11.831	23.429
-17.637	13.378	23.188
-17.529	14.915	23.104
-17.385	16.339	22.829
-17.270	17.716	22.684
-17.139	19.227	22.337
-16.725	20.649	21.746
-19.644	8.762	23.137
-19.626	10.267	23.252
-19.436	11.894	23.166
-19.308	13.426	23.072
-19.124	14.979	22.766
-18.885	16.507	22.518
-18.794	17.955	22.342
-18.501	19.255	21.912
-18.372	20.672	21.546
