# X(mm)	Y(mm)	Z(mm)
13.707	-7.702	29.632
14.909	-7.717	29.877
16.687	-7.678	29.521
11.852	-5.951	29.789
13.562	-6.055	29.885
15.246	-6.059	30.116
16.612	-6.013	30.101
18.452	-5.674	30.094
10.010	-4.366	29.861
11.839	-4.458	29.985
13.502	-4.490	30.146
15.257	-4.495	30.401
16.588	-4.497	30.461
18.353	-4.455	30.208
20.004	-4.357	30.153
8.482	-2.542	29.568
9.848	-2.593	30.304
11.613	-2.721	30.461
13.383	-2.773	30.608
15.161	-2.741	30.516
16.820	-2.750	30.651
18.408	-2.690	30.507
20.447	-2.610	30.749
21.907	-2.576	30.273
8.340	-0.853	29.813
9.968	-0.907	30.196
11.715	-0.979	30.510
13.409	-0.954	30.670
15.155	-0.978	30.810
16.837	-1.007	30.865
18.691	-0.975	30.901
20.122	-0.927	30.743
21.831	-0.844	30.260
8.172	1.281	30.153
9.767	0.970	30.690
11.506	0.915	31.209
13.304	0.872	31.181
15.010	0.844	31.120
16.881	0.890	31.299
18.555	0.847	31.287
20.353	0.879	30.938
21.876	0.926	30.441
8.449	2.833	30.252
10.053	2.779	30.629
11.724	2.763	31.116
13.487	2.758	31.174
15.213	2.692	31.304
16.792	2.710	31.339
18.477	2.699	31.129
20.205	2.741	31.081
21.840	2.771	30.641
8.465	4.571	30.330
10.125	4.499	30.753
11.796	4.513	31.113
13.539	4.520	31.455
15.252	4.499	31.561
16.645	4.503	31.534
18.473	4.467	31.327
20.143	4.479	31.212
22.017	4.534	30.767
