X(mm)	Y(mm)	Z(mm)	Left_x	Left_y	Right_x	Right_y
9.384	-12.297	25.740	233.000	129.000	343.000	150.000
10.525	-12.341	25.851	241.000	139.000	352.000	141.000
12.290	-12.289	25.841	255.000	152.000	367.000	131.000
7.598	-10.639	26.066	206.000	130.000	337.000	175.000
9.209	-10.745	26.425	219.000	142.000	351.000	165.000
10.922	-10.749	26.639	232.000	155.000	366.000	155.000
12.196	-10.783	26.899	240.000	165.000	378.000	146.000
13.942	-10.745	26.867	253.000	177.000	394.000	136.000
5.743	-9.100	26.518	176.000	130.000	332.000	198.000
7.503	-9.214	26.698	193.000	143.000	345.000	188.000
9.177	-9.279	27.094	207.000	155.000	360.000	179.000
10.891	-9.347	27.464	220.000	167.000	376.000	169.000
12.201	-9.335	27.537	230.000	176.000	388.000	162.000
13.919	-9.351	27.591	242.000	188.000	404.000	151.000
15.606	-9.382	27.765	253.000	198.000	422.000	141.000
4.227	-7.310	26.462	148.000	134.000	328.000	222.000
5.781	-7.442	26.970	163.000	146.000	341.000	213.000
7.402	-7.497	27.397	178.000	158.000	355.000	205.000
8.997	-7.606	27.773	192.000	169.000	369.000	196.000
10.782	-7.682	28.196	206.000	181.000	386.000	186.000
12.300	-7.689	28.267	218.000	191.000	400.000	178.000
13.953	-7.657	28.276	230.000	202.000	416.000	169.000
15.981	-7.693	28.675	243.000	212.000	440.000	159.000
17.521	-7.662	28.082	255.000	223.000	453.000	148.000
3.991	-5.288	26.957	125.000	156.000	336.000	238.000
5.711	-5.757	27.456	148.000	162.000	350.000	229.000
7.397	-5.822	27.961	164.000	174.000	365.000	221.000
9.016	-5.925	28.456	178.000	185.000	380.000	212.000
10.677	-6.036	28.854	192.000	195.000	396.000	203.000
12.402	-6.061	28.926	206.000	206.000	412.000	194.000
14.220	-6.041	28.888	220.000	217.000	430.000	185.000
15.747	-6.110	28.909	231.000	225.000	446.000	176.000
17.470	-5.995	28.590	243.000	236.000	464.000	167.000
3.773	-3.837	27.459	112.000	166.000	345.000	255.000
5.504	-4.000	28.136	130.000	178.000	360.000	246.000
7.153	-4.101	28.723	146.000	189.000	375.000	238.000
8.849	-4.176	29.065	162.000	200.000	390.000	230.000
10.630	-4.301	29.433	178.000	210.000	407.000	221.000
12.371	-4.276	29.560	192.000	221.000	424.000	213.000
14.145	-4.394	29.693	206.000	230.000	442.000	203.000
15.971	-4.321	29.544	219.000	241.000	461.000	194.000
17.620	-4.286	29.101	232.000	250.000	478.000	186.000
4.071	-1.962	27.783	99.000	188.000	357.000	271.000
5.699	-2.147	28.366	117.000	198.000	371.000	263.000
7.386	-2.282	29.032	134.000	208.000	387.000	255.000
9.081	-2.382	29.501	150.000	218.000	403.000	247.000
10.813	-2.461	29.690	166.000	228.000	419.000	239.000
12.311	-2.488	30.017	178.000	236.000	435.000	232.000
14.080	-2.498	29.838	193.000	246.000	452.000	224.000
15.885	-2.506	29.918	206.000	255.000	472.000	215.000
17.626	-2.462	29.624	219.000	264.000	491.000	207.000
3.961	-0.275	28.153	83.000	205.000	366.000	286.000
5.661	-0.415	28.734	102.000	215.000	381.000	279.000
7.322	-0.573	29.452	119.000	224.000	397.000	271.000
9.055	-0.641	29.800	136.000	234.000	413.000	264.000
10.827	-0.729	30.248	152.000	243.000	431.000	256.000
12.285	-0.752	30.260	165.000	251.000	445.000	250.000
14.105	-0.780	30.328	180.000	260.000	464.000	242.000
15.855	-0.786	30.112	194.000	269.000	482.000	234.000
17.877	-0.693	29.826	209.000	279.000	505.000	226.000
