# X(mm)	Y(mm)	Z(mm)
9.384	-12.297	25.740
10.525	-12.341	25.851
12.290	-12.289	25.841
7.598	-10.639	26.066
9.209	-10.745	26.425
10.922	-10.749	26.639
12.196	-10.783	26.899
13.942	-10.745	26.867
5.743	-9.100	26.518
7.503	-9.214	26.698
9.177	-9.279	27.094
10.891	-9.347	27.464
12.201	-9.335	27.537
13.919	-9.351	27.591
15.606	-9.382	27.765
4.227	-7.310	26.462
5.781	-7.442	26.970
7.402	-7.497	27.397
8.997	-7.606	27.773
10.782	-7.682	28.196
12.300	-7.689	28.267
13.953	-7.657	28.276
15.981	-7.693	28.675
17.521	-7.662	28.082
3.991	-5.288	26.957
5.711	-5.757	27.456
7.397	-5.822	27.961
9.016	-5.925	28.456
10.677	-6.036	28.854
12.402	-6.061	28.926
14.220	-6.041	28.888
15.747	-6.110	28.909
17.470	-5.995	28.590
3.773	-3.837	27.459
5.504	-4.000	28.136
7.153	-4.101	28.723
8.849	-4.176	29.065
10.630	-4.301	29.433
12.371	-4.276	29.560
14.145	-4.394	29.693
15.971	-4.321	29.544
17.620	-4.286	29.101
4.071	-1.962	27.783
5.699	-2.147	28.366
7.386	-2.282	29.032
9.081	-2.382	29.501
10.813	-2.461	29.690
12.311	-2.488	30.017
14.080	-2.498	29.838
15.885	-2.506	29.918
17.626	-2.462	29.624
3.961	-0.275	28.153
5.661	-0.415	28.734
7.322	-0.573	29.452
9.055	-0.641	29.800
10.827	-0.729	30.248
12.285	-0.752	30.260
14.105	-0.780	30.328
15.855	-0.786	30.112
17.877	-0.693	29.826
