# X(mm)	Y(mm)	Z(mm)
13.288	-7.220	29.613
14.540	-7.165	29.703
16.305	-7.143	29.433
11.499	-5.494	29.858
13.225	-5.545	29.747
14.964	-5.528	29.892
16.357	-5.493	29.785
18.110	-5.384	29.601
9.825	-3.860	29.696
11.257	-3.927	30.369
13.199	-3.964	30.084
15.011	-3.974	30.060
16.490	-3.970	30.071
18.212	-3.817	30.197
19.716	-3.832	29.725
8.000	-2.127	29.805
9.713	-2.209	30.187
11.386	-2.233	30.247
12.990	-2.245	30.534
14.917	-2.236	30.616
16.551	-2.274	30.439
18.143	-2.233	30.096
19.866	-2.181	29.939
21.395	-2.052	29.432
7.987	-0.403	30.061
9.635	-0.456	30.425
11.397	-0.513	30.577
13.159	-0.553	30.711
14.865	-0.482	30.798
16.417	-0.469	30.661
18.271	-0.442	30.476
19.896	-0.445	30.172
21.370	-0.301	29.696
7.869	1.390	30.369
9.503	1.358	30.747
11.230	1.346	30.998
12.997	1.324	31.009
14.732	1.302	31.150
16.532	1.335	31.072
18.319	1.346	30.881
20.155	1.430	30.505
21.744	1.475	30.039
8.007	3.214	30.455
9.672	3.180	30.894
11.432	3.153	31.047
13.191	3.132	31.175
14.895	3.148	31.084
16.579	3.199	31.079
18.214	3.197	30.920
19.981	3.252	30.577
21.611	3.346	30.202
8.042	5.003	30.780
9.767	4.846	30.958
11.419	4.867	31.307
13.208	4.821	31.354
14.977	4.897	31.423
16.633	4.908	31.322
18.291	4.859	31.057
19.885	4.934	30.860
21.546	5.021	30.404
