X(mm)	Y(mm)	Z(mm)	Left_x	Left_y	Right_x	Right_y
-8.130	13.066	28.704	257.000	209.000	374.000	223.000
-8.267	14.331	28.801	265.000	219.000	382.000	213.000
-8.077	16.110	28.369	282.000	230.000	393.000	201.000
-9.773	11.289	28.056	229.000	214.000	376.000	248.000
-9.753	13.030	28.096	245.000	225.000	387.000	236.000
-9.796	14.539	28.115	257.000	235.000	397.000	225.000
-9.722	16.186	27.947	271.000	245.000	408.000	213.000
-9.851	17.867	27.795	283.000	256.000	422.000	201.000
-11.479	9.521	27.310	196.000	223.000	376.000	271.000
-11.197	11.275	27.503	218.000	229.000	387.000	259.000
-11.295	12.971	27.580	233.000	240.000	399.000	248.000
-11.292	14.690	27.590	248.000	250.000	411.000	236.000
-11.252	16.232	27.474	261.000	259.000	422.000	225.000
-11.198	17.739	27.169	274.000	268.000	434.000	215.000
-11.297	19.607	27.143	287.000	278.000	451.000	200.000
-12.931	7.709	26.334	164.000	229.000	376.000	295.000
-12.781	9.387	26.718	187.000	234.000	388.000	284.000
-12.894	11.118	26.915	204.000	245.000	400.000	273.000
-12.945	12.819	27.012	220.000	255.000	412.000	262.000
-12.906	14.618	26.911	236.000	266.000	424.000	250.000
-12.919	16.213	26.764	250.000	275.000	437.000	240.000
-12.836	17.873	26.569	264.000	284.000	450.000	228.000
-12.756	19.592	26.322	278.000	293.000	465.000	215.000
-12.721	21.134	25.831	290.000	303.000	480.000	204.000
-14.175	7.694	25.585	156.000	242.000	388.000	308.000
-14.359	9.355	25.993	174.000	252.000	400.000	297.000
-14.486	11.076	26.161	192.000	262.000	413.000	287.000
-14.502	12.854	26.148	209.000	273.000	425.000	276.000
-14.562	14.594	26.200	225.000	282.000	439.000	265.000
-14.567	16.140	26.214	238.000	290.000	451.000	254.000
-14.464	17.964	25.905	254.000	300.000	466.000	242.000
-14.426	19.583	25.739	267.000	308.000	481.000	230.000
-14.266	21.226	25.272	281.000	317.000	497.000	218.000
-16.191	7.245	25.417	134.000	258.000	401.000	321.000
-16.117	9.157	25.297	158.000	270.000	413.000	312.000
-16.212	10.854	25.575	176.000	279.000	425.000	301.000
-16.308	12.649	25.613	194.000	289.000	439.000	291.000
-16.388	14.398	25.688	210.000	298.000	453.000	280.000
-16.330	16.213	25.535	227.000	307.000	468.000	269.000
-16.550	17.955	25.411	238.000	319.000	483.000	257.000
-16.178	19.754	25.050	257.000	325.000	500.000	245.000
-16.021	21.425	24.599	271.000	334.000	517.000	233.000
-17.603	7.679	24.193	127.000	282.000	415.000	335.000
-17.720	9.357	24.460	147.000	291.000	427.000	325.000
-17.821	11.086	24.631	166.000	300.000	440.000	315.000
-17.898	12.809	24.756	184.000	308.000	454.000	305.000
-17.962	14.518	24.740	200.000	317.000	468.000	295.000
-18.016	16.185	24.700	215.000	325.000	483.000	285.000
-17.993	17.862	24.517	230.000	333.000	499.000	275.000
-17.816	19.641	24.228	246.000	341.000	516.000	263.000
-17.715	21.178	23.845	259.000	349.000	533.000	253.000
-19.152	7.643	23.488	113.000	301.000	427.000	348.000
-19.367	9.305	23.858	133.000	309.000	440.000	338.000
-19.406	11.003	23.952	153.000	317.000	453.000	329.000
-19.576	12.793	24.081	171.000	326.000	468.000	319.000
-19.562	14.428	24.057	188.000	333.000	482.000	310.000
-19.612	16.163	24.008	204.000	341.000	498.000	300.000
-19.563	17.906	23.804	220.000	349.000	515.000	290.000
-19.454	19.480	23.573	234.000	356.000	531.000	280.000
-19.308	21.083	23.170	248.000	364.000	549.000	270.000
